sent_id,match_type,similarity,expected,expected_sub,expected_rel,expected_obj,predicted,predicted_sub,predicted_rel,predicted_obj
ont_18_scientist_test_1,EXACT,1.00,"(Darlington, areaCode, 01325)",Darlington,areaCode,01325,"(Darlington, areaCode, 01325)",Darlington,areaCode,01325
ont_18_scientist_test_10,EXACT,1.00,"(Lady_Anne_Monson, birthPlace, Darlington)",Lady_Anne_Monson,birthPlace,Darlington,"(Lady_Anne_Monson, birthPlace, Darlington)",Lady_Anne_Monson,birthPlace,Darlington
ont_18_scientist_test_10,EXACT,1.00,"(Lady_Anne_Monson, deathDate, 1776-02-18)",Lady_Anne_Monson,deathDate,1776-02-18,"(Lady_Anne_Monson, deathDate, 1776-02-18)",Lady_Anne_Monson,deathDate,1776-02-18
ont_18_scientist_test_100,EXACT,1.00,"(Lady_Anne_Monson, residence, India)",Lady_Anne_Monson,residence,India,"(Lady_Anne_Monson, residence, India)",Lady_Anne_Monson,residence,India
ont_18_scientist_test_100,EXACT,1.00,"(Lady_Anne_Monson, deathDate, 1776-02-18)",Lady_Anne_Monson,deathDate,1776-02-18,"(Lady_Anne_Monson, deathDate, 1776-02-18)",Lady_Anne_Monson,deathDate,1776-02-18
ont_18_scientist_test_100,MISSING,,"(Lady_Anne_Monson, nationality, Kingdom_of_England)",Lady_Anne_Monson,nationality,Kingdom_of_England,,,,
ont_18_scientist_test_101,SEMANTIC,0.98,"(Brandon_Carter, doctoralAdvisor, Dennis_William_Sciama)",Brandon_Carter,doctoralAdvisor,Dennis_William_Sciama,"(Dennis_W._Sciama, doctoralAdvisor, Brandon_Carter)",Dennis_W._Sciama,doctoralAdvisor,Brandon_Carter
ont_18_scientist_test_101,MISSING,,"(Brandon_Carter, knownFor, Carter_constant)",Brandon_Carter,knownFor,Carter_constant,,,,
ont_18_scientist_test_101,EXTRA,,,,,,"(Brandon_Carter, knownFor, the carter constant)",Brandon_Carter,knownFor,the carter constant
ont_18_scientist_test_102,EXACT,1.00,"(Darinka_Dentcheva, citizenship, United_States)",Darinka_Dentcheva,citizenship,United_States,"(Darinka_Dentcheva, citizenship, United_States)",Darinka_Dentcheva,citizenship,United_States
ont_18_scientist_test_102,EXACT,1.00,"(Darinka_Dentcheva, birthDate, 1958-01-01)",Darinka_Dentcheva,birthDate,1958-01-01,"(Darinka_Dentcheva, birthDate, 1958-01-01)",Darinka_Dentcheva,birthDate,1958-01-01
ont_18_scientist_test_102,SEMANTIC,0.96,"(Darinka_Dentcheva, professionalField, Mathematical_optimization)",Darinka_Dentcheva,professionalField,Mathematical_optimization,"(Darinka_Dentcheva, type, Mathematical_optimization)",Darinka_Dentcheva,type,Mathematical_optimization
ont_18_scientist_test_103,EXACT,1.00,"(Darinka_Dentcheva, citizenship, United_States)",Darinka_Dentcheva,citizenship,United_States,"(Darinka_Dentcheva, citizenship, United_States)",Darinka_Dentcheva,citizenship,United_States
ont_18_scientist_test_103,SEMANTIC,0.96,"(Darinka_Dentcheva, professionalField, Mathematical_optimization)",Darinka_Dentcheva,professionalField,Mathematical_optimization,"(Darinka_Dentcheva, type, Mathematical_optimization)",Darinka_Dentcheva,type,Mathematical_optimization
ont_18_scientist_test_103,SEMANTIC,0.97,"(Darinka_Dentcheva, birthDate, 1958-01-01)",Darinka_Dentcheva,birthDate,1958-01-01,"(Darinka_Dentcheva, birthDate, 1989-01-01)",Darinka_Dentcheva,birthDate,1989-01-01
ont_18_scientist_test_103,MISSING,,"(Darinka_Dentcheva, influencedBy, Andrzej_Piotr_Ruszczyński)",Darinka_Dentcheva,influencedBy,Andrzej_Piotr_Ruszczyński,,,,
