sent_id,match_type,similarity,expected,expected_sub,expected_rel,expected_obj,predicted,predicted_sub,predicted_rel,predicted_obj
ont_5_athlete_test_1,SEMANTIC,0.98,"(Aaron_Hunt, club, Germany_national_under-21_football_team)",Aaron_Hunt,club,Germany_national_under-21_football_team,"(Aaron_Hunt, isPartOf, Germany_national_under-21_football_team)",Aaron_Hunt,isPartOf,Germany_national_under-21_football_team
ont_5_athlete_test_1,MISSING,,"(Aaron_Hunt, youthclub, Goslarer_SC_08)",Aaron_Hunt,youthclub,Goslarer_SC_08,,,,
ont_5_athlete_test_1,MISSING,,"(Aaron_Hunt, club, SV_Werder_Bremen)",Aaron_Hunt,club,SV_Werder_Bremen,,,,
ont_5_athlete_test_10,EXACT,1.00,"(Aaron_Hunt, club, VfL_Wolfsburg)",Aaron_Hunt,club,VfL_Wolfsburg,"(Aaron_Hunt, club, VfL_Wolfsburg)",Aaron_Hunt,club,VfL_Wolfsburg
ont_5_athlete_test_10,MISSING,,"(Aaron_Hunt, youthclub, SV_Werder_Bremen)",Aaron_Hunt,youthclub,SV_Werder_Bremen,,,,
ont_5_athlete_test_10,MISSING,,"(Aaron_Hunt, club, SV_Werder_Bremen_II)",Aaron_Hunt,club,SV_Werder_Bremen_II,,,,
ont_5_athlete_test_100,EXACT,1.00,"(Akeem_Ayers, formerTeam, Tennessee_Titans)",Akeem_Ayers,formerTeam,Tennessee_Titans,"(Akeem_Ayers, formerTeam, Tennessee_Titans)",Akeem_Ayers,formerTeam,Tennessee_Titans
ont_5_athlete_test_100,EXACT,1.00,"(Akeem_Ayers, draftRound, 2)",Akeem_Ayers,draftRound,2,"(Akeem_Ayers, draftRound, 2)",Akeem_Ayers,draftRound,2
ont_5_athlete_test_100,EXACT,1.00,"(Akeem_Ayers, draftPick, 39)",Akeem_Ayers,draftPick,39,"(Akeem_Ayers, draftPick, 39)",Akeem_Ayers,draftPick,39
ont_5_athlete_test_101,EXACT,1.00,"(Akeem_Ayers, formerTeam, St._Louis_Rams)",Akeem_Ayers,formerTeam,St._Louis_Rams,"(Akeem_Ayers, formerTeam, St._Louis_Rams)",Akeem_Ayers,formerTeam,St._Louis_Rams
ont_5_athlete_test_101,EXACT,1.00,"(Akeem_Ayers, draftRound, 2)",Akeem_Ayers,draftRound,2,"(Akeem_Ayers, draftRound, 2)",Akeem_Ayers,draftRound,2
ont_5_athlete_test_101,EXACT,1.00,"(Akeem_Ayers, draftPick, 39)",Akeem_Ayers,draftPick,39,"(Akeem_Ayers, draftPick, 39)",Akeem_Ayers,draftPick,39
ont_5_athlete_test_102,SEMANTIC,0.95,"(St._Louis_Rams, city, St._Louis)",St._Louis_Rams,city,St._Louis,"(St._Louis_Rams, ground, St._Louis)",St._Louis_Rams,ground,St._Louis
ont_5_athlete_test_102,MISSING,,"(Akeem_Ayers, formerTeam, St._Louis_Rams)",Akeem_Ayers,formerTeam,St._Louis_Rams,,,,
ont_5_athlete_test_102,MISSING,,"(Akeem_Ayers, debutTeam, Tennessee_Titans)",Akeem_Ayers,debutTeam,Tennessee_Titans,,,,
ont_5_athlete_test_103,SEMANTIC,0.99,"(Alan_Martin_(footballer), birthDate, 1989-01-01)",Alan_Martin_(footballer),birthDate,1989-01-01,"(Alan_Martin_(footballer,_born_1989), birthDate, 1989-01-01)","Alan_Martin_(footballer,_born_1989)",birthDate,1989-01-01
ont_5_athlete_test_103,SEMANTIC,0.98,"(Alan_Martin_(footballer), club, Aldershot_Town_F.C.)",Alan_Martin_(footballer),club,Aldershot_Town_F.C.,"(Alan_Martin_(footballer,_born_1989), club, Aldershot_Town_F.C.)","Alan_Martin_(footballer,_born_1989)",club,Aldershot_Town_F.C.
ont_5_athlete_test_103,MISSING,,"(Alan_Martin_(footballer), club, Crewe_Alexandra_F.C.)",Alan_Martin_(footballer),club,Crewe_Alexandra_F.C.,,,,
ont_5_athlete_test_104,SEMANTIC,0.99,"(Alan_Martin_(footballer), birthDate, 1989-01-01)",Alan_Martin_(footballer),birthDate,1989-01-01,"(Alan_Martin_(footballer,_born_1989), birthDate, 1989-01-01)","Alan_Martin_(footballer,_born_1989)",birthDate,1989-01-01
ont_5_athlete_test_104,MISSING,,"(Alan_Martin_(footballer), club, Crewe_Alexandra_F.C.)",Alan_Martin_(footballer),club,Crewe_Alexandra_F.C.,,,,
ont_5_athlete_test_104,MISSING,,"(Alan_Martin_(footballer), club, Hamilton_Academical_F.C.)",Alan_Martin_(footballer),club,Hamilton_Academical_F.C.,,,,
ont_5_athlete_test_105,EXACT,1.00,"(Olympique_Lyonnais, ground, Parc_Olympique_Lyonnais)",Olympique_Lyonnais,ground,Parc_Olympique_Lyonnais,"(Olympique_Lyonnais, ground, Parc_Olympique_Lyonnais)",Olympique_Lyonnais,ground,Parc_Olympique_Lyonnais
ont_5_athlete_test_105,EXACT,1.00,"(Aleksandre_Guruli, club, Olympique_Lyonnais)",Aleksandre_Guruli,club,Olympique_Lyonnais,"(Aleksandre_Guruli, club, Olympique_Lyonnais)",Aleksandre_Guruli,club,Olympique_Lyonnais
ont_5_athlete_test_105,MISSING,,"(Aleksandre_Guruli, club, AZAL_PFK)",Aleksandre_Guruli,club,AZAL_PFK,,,,
ont_5_athlete_test_105,EXTRA,,,,,,"(Aleksandre_Guruli, club, Shuvalan_FK)",Aleksandre_Guruli,club,Shuvalan_FK
ont_5_athlete_test_106,EXACT,1.00,"(Alex_Plante, birthPlace, Manitoba)",Alex_Plante,birthPlace,Manitoba,"(Alex_Plante, birthPlace, Manitoba)",Alex_Plante,birthPlace,Manitoba
ont_5_athlete_test_106,EXACT,1.00,"(Alex_Plante, birthYear, 1989)",Alex_Plante,birthYear,1989,"(Alex_Plante, birthYear, 1989)",Alex_Plante,birthYear,1989
ont_5_athlete_test_106,SEMANTIC,0.96,"(Alex_Plante, club, Anyang_Halla)",Alex_Plante,club,Anyang_Halla,"(Alex_Plante, club, HL_Anyang)",Alex_Plante,club,HL_Anyang
ont_5_athlete_test_107,EXACT,1.00,"(Alex_Plante, birthPlace, Canada)",Alex_Plante,birthPlace,Canada,"(Alex_Plante, birthPlace, Canada)",Alex_Plante,birthPlace,Canada
ont_5_athlete_test_107,MISSING,,"(Canada, anthem, O_Canada)",Canada,anthem,O_Canada,,,,
ont_5_athlete_test_107,MISSING,,"(Canada, leader, Elizabeth_II)",Canada,leader,Elizabeth_II,,,,
