sent_id,match_type,similarity,expected,expected_sub,expected_rel,expected_obj,predicted,predicted_sub,predicted_rel,predicted_obj
ont_11_meanoftransportation_test_1,MISSING,,"(A-Rosa_Luna, powerType, MTU_Friedrichshafen)",A-Rosa_Luna,powerType,MTU_Friedrichshafen,,,,
ont_11_meanoftransportation_test_1,MISSING,,"(MTU_Friedrichshafen, city, Friedrichshafen)",MTU_Friedrichshafen,city,Friedrichshafen,,,,
ont_11_meanoftransportation_test_1,MISSING,,"(A-Rosa_Luna, builder, Germany)",A-Rosa_Luna,builder,Germany,,,,
ont_11_meanoftransportation_test_1,EXTRA,,,,,,"(A-Rosa_Luna, countryOrigin, Germany)",A-Rosa_Luna,countryOrigin,Germany
ont_11_meanoftransportation_test_1,EXTRA,,,,,,"(A-Rosa_Luna, engine, mtu friedrichshafen engine)",A-Rosa_Luna,engine,mtu friedrichshafen engine
ont_11_meanoftransportation_test_10,MISSING,,"(AIDAluna, length, 252000.0 (millimetres))",AIDAluna,length,252000.0 (millimetres),,,,
ont_11_meanoftransportation_test_10,MISSING,,"(AIDAluna, christeningDate, 2009-04-04)",AIDAluna,christeningDate,2009-04-04,,,,
ont_11_meanoftransportation_test_10,MISSING,,"(AIDAluna, activeYearsStartDate, 2009-03-22)",AIDAluna,activeYearsStartDate,2009-03-22,,,,
ont_11_meanoftransportation_test_11,MISSING,,"(AIDAluna, length, 252000.0 (millimetres))",AIDAluna,length,252000.0 (millimetres),,,,
ont_11_meanoftransportation_test_11,MISSING,,"(AIDAluna, powerType, Caterpillar_Inc.)",AIDAluna,powerType,Caterpillar_Inc.,,,,
ont_11_meanoftransportation_test_11,MISSING,,"(AIDAluna, activeYearsStartDate, 2009-03-22)",AIDAluna,activeYearsStartDate,2009-03-22,,,,
ont_11_meanoftransportation_test_12,MISSING,,"(AIDAluna, length, 252000.0 (millimetres))",AIDAluna,length,252000.0 (millimetres),,,,
ont_11_meanoftransportation_test_12,MISSING,,"(AIDAluna, powerType, Caterpillar_Inc.)",AIDAluna,powerType,Caterpillar_Inc.,,,,
ont_11_meanoftransportation_test_12,MISSING,,"(AIDAluna, christeningDate, 2009-04-04)",AIDAluna,christeningDate,2009-04-04,,,,
ont_11_meanoftransportation_test_13,MISSING,,"(AIDAluna, length, 252000.0 (millimetres))",AIDAluna,length,252000.0 (millimetres),,,,
ont_11_meanoftransportation_test_13,MISSING,,"(AIDAluna, maidenVoyage, 2009-03-22)",AIDAluna,maidenVoyage,2009-03-22,,,,
