sent_id,match_type,similarity,expected,expected_sub,expected_rel,expected_obj,predicted,predicted_sub,predicted_rel,predicted_obj
ont_10_comicscharacter_test_1,SEMANTIC,0.94,"(Arion_(comicsCharacter), creator, Jan_Duursema)",Arion_(comicsCharacter),creator,Jan_Duursema,"(Arion, creator, Jan_Duursema)",Arion,creator,Jan_Duursema
ont_10_comicscharacter_test_1,SEMANTIC,0.95,"(Arion_(comicsCharacter), creator, Paul_Kupperberg)",Arion_(comicsCharacter),creator,Paul_Kupperberg,"(Arion, creator, Paul_Kupperberg)",Arion,creator,Paul_Kupperberg
ont_10_comicscharacter_test_1,MISSING,,"(Arion_(comicsCharacter), alternativeName, Ahri'ahn)",Arion_(comicsCharacter),alternativeName,Ahri'ahn,,,,
ont_10_comicscharacter_test_1,EXTRA,,,,,,"(Arion, alternativeName, ahri'ahn)",Arion,alternativeName,ahri'ahn
ont_10_comicscharacter_test_10,MISSING,,"(Balder_(comicsCharacter), creator, Stan_Lee)",Balder_(comicsCharacter),creator,Stan_Lee,,,,
ont_10_comicscharacter_test_10,MISSING,,"(Balder_(comicsCharacter), alternativeName, Balder Odinson)",Balder_(comicsCharacter),alternativeName,Balder Odinson,,,,
ont_10_comicscharacter_test_10,MISSING,,"(Balder_(comicsCharacter), creator, Jack_Kirby)",Balder_(comicsCharacter),creator,Jack_Kirby,,,,
ont_10_comicscharacter_test_10,EXTRA,,,,,,"(Balder_the_Brave, alternativeName, balder odinson)",Balder_the_Brave,alternativeName,balder odinson
ont_10_comicscharacter_test_10,EXTRA,,,,,,"(Balder_the_Brave, creator, Stan_Lee)",Balder_the_Brave,creator,Stan_Lee
ont_10_comicscharacter_test_10,EXTRA,,,,,,"(Balder_the_Brave, creator, Jack_Kirby)",Balder_the_Brave,creator,Jack_Kirby
ont_10_comicscharacter_test_11,MISSING,,"(Balder_(comicsCharacter), alternativeName, Balder Odinson)",Balder_(comicsCharacter),alternativeName,Balder Odinson,,,,
ont_10_comicscharacter_test_11,MISSING,,"(Balder_(comicsCharacter), creator, Jack_Kirby)",Balder_(comicsCharacter),creator,Jack_Kirby,,,,
ont_10_comicscharacter_test_11,MISSING,,"(Jack_Kirby, nationality, Americans)",Jack_Kirby,nationality,Americans,,,,
ont_10_comicscharacter_test_12,MISSING,,"(Balder_(comicsCharacter), creator, Stan_Lee)",Balder_(comicsCharacter),creator,Stan_Lee,,,,
ont_10_comicscharacter_test_12,MISSING,,"(Balder_(comicsCharacter), creator, Jack_Kirby)",Balder_(comicsCharacter),creator,Jack_Kirby,,,,
ont_10_comicscharacter_test_12,MISSING,,"(Jack_Kirby, nationality, Americans)",Jack_Kirby,nationality,Americans,,,,
ont_10_comicscharacter_test_12,EXTRA,,,,,,"(Balder_the_Brave, creator, Jack_Kirby)",Balder_the_Brave,creator,Jack_Kirby
ont_10_comicscharacter_test_12,EXTRA,,,,,,"(Balder_the_Brave, creator, Stan_Lee)",Balder_the_Brave,creator,Stan_Lee
ont_10_comicscharacter_test_13,EXACT,1.00,"(Big_Hero_6_(film), distributor, Walt_Disney_Studios_Motion_Pictures)",Big_Hero_6_(film),distributor,Walt_Disney_Studios_Motion_Pictures,"(Big_Hero_6_(film), distributor, Walt_Disney_Studios_Motion_Pictures)",Big_Hero_6_(film),distributor,Walt_Disney_Studios_Motion_Pictures
ont_10_comicscharacter_test_13,MISSING,,"(Baymax, firstAppearanceInFilm, Big_Hero_6_(film))",Baymax,firstAppearanceInFilm,Big_Hero_6_(film),,,,
ont_10_comicscharacter_test_13,MISSING,,"(Big_Hero_6_(film), starring, Alan_Tudyk)",Big_Hero_6_(film),starring,Alan_Tudyk,,,,
ont_10_comicscharacter_test_13,EXTRA,,,,,,"(Big_Hero_6_(film), series, Big_Hero_6_(comics))",Big_Hero_6_(film),series,Big_Hero_6_(comics)
ont_10_comicscharacter_test_14,EXACT,1.00,"(Big_Hero_6_(film), distributor, Walt_Disney_Studios_Motion_Pictures)",Big_Hero_6_(film),distributor,Walt_Disney_Studios_Motion_Pictures,"(Big_Hero_6_(film), distributor, Walt_Disney_Studios_Motion_Pictures)",Big_Hero_6_(film),distributor,Walt_Disney_Studios_Motion_Pictures
ont_10_comicscharacter_test_14,MISSING,,"(Baymax, firstAppearanceInFilm, Big_Hero_6_(film))",Baymax,firstAppearanceInFilm,Big_Hero_6_(film),,,,
ont_10_comicscharacter_test_14,MISSING,,"(Big_Hero_6_(film), starring, Ryan_Potter)",Big_Hero_6_(film),starring,Ryan_Potter,,,,
ont_10_comicscharacter_test_14,EXTRA,,,,,,"(Big_Hero_6_(film), series, Big_Hero_6_(comics))",Big_Hero_6_(film),series,Big_Hero_6_(comics)
ont_10_comicscharacter_test_15,EXACT,1.00,"(Baymax, creator, Duncan_Rouleau)",Baymax,creator,Duncan_Rouleau,"(Baymax, creator, Duncan_Rouleau)",Baymax,creator,Duncan_Rouleau
