sent_id,match_type,similarity,expected,expected_sub,expected_rel,expected_obj,predicted,predicted_sub,predicted_rel,predicted_obj
ont_2_musicalwork_test_1,SEMANTIC,0.95,"(Mermaid_(Train_song), followedBy, Imagine_(John_Lennon_song))",Mermaid_(Train_song),followedBy,Imagine_(John_Lennon_song),"(Imagine_(John_Lennon_song), followedBy, Mermaid)",Imagine_(John_Lennon_song),followedBy,Mermaid
ont_2_musicalwork_test_1,MISSING,,"(Mermaid_(Train_song), producer, Espionage_(production_team))",Mermaid_(Train_song),producer,Espionage_(production_team),,,,
ont_2_musicalwork_test_1,MISSING,,"(Mermaid_(Train_song), album, California_37_(Train_album))",Mermaid_(Train_song),album,California_37_(Train_album),,,,
ont_2_musicalwork_test_1,EXTRA,,,,,,"(Imagine_(John_Lennon_song), album, California_37_(album))",Imagine_(John_Lennon_song),album,California_37_(album)
ont_2_musicalwork_test_1,EXTRA,,,,,,"(Imagine_(John_Lennon_song), type, Song)",Imagine_(John_Lennon_song),type,Song
ont_2_musicalwork_test_1,EXTRA,,,,,,"(Imagine_(John_Lennon_song), musicalBand, Train)",Imagine_(John_Lennon_song),musicalBand,Train
ont_2_musicalwork_test_10,MISSING,,"(Mermaid_(Train_song), writer, Espen_Lind)",Mermaid_(Train_song),writer,Espen_Lind,,,,
ont_2_musicalwork_test_10,MISSING,,"(Mermaid_(Train_song), precededBy, This'll_Be_My_Year)",Mermaid_(Train_song),precededBy,This'll_Be_My_Year,,,,
ont_2_musicalwork_test_10,MISSING,,"(Mermaid_(Train_song), runtime, 3.16)",Mermaid_(Train_song),runtime,3.16,,,,
ont_2_musicalwork_test_10,MISSING,,"(Mermaid_(Train_song), writer, Amund_Bjørklund)",Mermaid_(Train_song),writer,Amund_Bjørklund,,,,
ont_2_musicalwork_test_10,MISSING,,"(Mermaid_(Train_song), releaseDate, 2012-12-27)",Mermaid_(Train_song),releaseDate,2012-12-27,,,,
ont_2_musicalwork_test_10,EXTRA,,,,,,"(Mermaid, writer, Amund_Bjørklund)",Mermaid,writer,Amund_Bjørklund
ont_2_musicalwork_test_10,EXTRA,,,,,,"(Mermaid, runtime, 3.16)",Mermaid,runtime,3.16
ont_2_musicalwork_test_10,EXTRA,,,,,,"(Mermaid, writer, Espen_Lind)",Mermaid,writer,Espen_Lind
ont_2_musicalwork_test_10,EXTRA,,,,,,"(Mermaid, releaseDate, 2012-12-27)",Mermaid,releaseDate,2012-12-27
ont_2_musicalwork_test_100,MISSING,,"(Punk_blues, instrument, Drum_kit)",Punk_blues,instrument,Drum_kit,,,,
ont_2_musicalwork_test_100,MISSING,,"(Turn_Me_On_(album), genre, Punk_blues)",Turn_Me_On_(album),genre,Punk_blues,,,,
ont_2_musicalwork_test_100,EXTRA,,,,,,"(Turn_Me_On_(David_Guetta_song), genre, Punk_blues)",Turn_Me_On_(David_Guetta_song),genre,Punk_blues
ont_2_musicalwork_test_101,MISSING,,"(Bootleg_Series_Volume_1:_The_Quine_Tapes, producer, The_Velvet_Underground)",Bootleg_Series_Volume_1:_The_Quine_Tapes,producer,The_Velvet_Underground,,,,
ont_2_musicalwork_test_102,MISSING,,"(Nord_(Year_of_No_Light_album), genre, Post-metal)",Nord_(Year_of_No_Light_album),genre,Post-metal,,,,
ont_2_musicalwork_test_102,MISSING,,"(Nord_(Year_of_No_Light_album), releaseDate, 2006-09-06)",Nord_(Year_of_No_Light_album),releaseDate,2006-09-06,,,,
ont_2_musicalwork_test_102,MISSING,,"(Nord_(Year_of_No_Light_album), artist, Year_of_No_Light)",Nord_(Year_of_No_Light_album),artist,Year_of_No_Light,,,,
ont_2_musicalwork_test_102,EXTRA,,,,,,"(Nord_(French_department), genre, Post-metal)",Nord_(French_department),genre,Post-metal
ont_2_musicalwork_test_102,EXTRA,,,,,,"(Nord_(French_department), type, Album)",Nord_(French_department),type,Album
ont_2_musicalwork_test_102,EXTRA,,,,,,"(Nord_(French_department), musicalBand, Year_of_No_Light)",Nord_(French_department),musicalBand,Year_of_No_Light
ont_2_musicalwork_test_102,EXTRA,,,,,,"(Nord_(French_department), releaseDate, 2006-09-06)",Nord_(French_department),releaseDate,2006-09-06
ont_2_musicalwork_test_103,MISSING,,"(Turn_Me_On_(album), genre, Noise_rock)",Turn_Me_On_(album),genre,Noise_rock,,,,
ont_2_musicalwork_test_103,EXTRA,,,,,,"(Turn_Me_On_(Kim_Kyu-jong_EP), genre, Noise_rock)",Turn_Me_On_(Kim_Kyu-jong_EP),genre,Noise_rock
ont_2_musicalwork_test_104,MISSING,,"(Turn_Me_On_(album), precededBy, Let_It_Breed)",Turn_Me_On_(album),precededBy,Let_It_Breed,,,,
ont_2_musicalwork_test_104,MISSING,,"(Turn_Me_On_(album), runtime, 35.1)",Turn_Me_On_(album),runtime,35.1,,,,
ont_2_musicalwork_test_104,MISSING,,"(Turn_Me_On_(album), producer, Wharton_Tiers)",Turn_Me_On_(album),producer,Wharton_Tiers,,,,
ont_2_musicalwork_test_104,MISSING,,"(Turn_Me_On_(album), producer, The_Honeymoon_Killers_(American_band))",Turn_Me_On_(album),producer,The_Honeymoon_Killers_(American_band),,,,
ont_2_musicalwork_test_104,EXTRA,,,,,,"(Turn_Me_On_(David_Guetta_song), producer, Wharton_Tiers)",Turn_Me_On_(David_Guetta_song),producer,Wharton_Tiers
