sent_id,match_type,similarity,expected,expected_sub,expected_rel,expected_obj,predicted,predicted_sub,predicted_rel,predicted_obj
ont_4_building_test_1,EXACT,1.00,"(108_St_Georges_Terrace, floorCount, 50)",108_St_Georges_Terrace,floorCount,50,"(108_St_Georges_Terrace, floorCount, 50)",108_St_Georges_Terrace,floorCount,50
ont_4_building_test_1,SEMANTIC,0.99,"(108_St_Georges_Terrace, completionDate, 1988)",108_St_Georges_Terrace,completionDate,1988,"(108_St_Georges_Terrace, completionDate, 1988-01-01)",108_St_Georges_Terrace,completionDate,1988-01-01
ont_4_building_test_1,MISSING,,"(108_St_Georges_Terrace, cost, 120 million (Australian dollars))",108_St_Georges_Terrace,cost,120 million (Australian dollars),,,,
ont_4_building_test_1,EXTRA,,,,,,"(108_St_Georges_Terrace, cost, 120000000)",108_St_Georges_Terrace,cost,120000000
ont_4_building_test_10,SEMANTIC,0.98,"(11_Diagonal_Street, location, South_Africa)",11_Diagonal_Street,location,South_Africa,"(11_Diagonal_Street, country, South_Africa)",11_Diagonal_Street,country,South_Africa
ont_4_building_test_10,MISSING,,"(South_Africa, leader, Cyril_Ramaphosa)",South_Africa,leader,Cyril_Ramaphosa,,,,
ont_4_building_test_10,MISSING,,"(South_Africa, ethnicGroup, White_South_African)",South_Africa,ethnicGroup,White_South_African,,,,
ont_4_building_test_100,EXACT,1.00,"(Ampara_Hospital, bedCount, 476)",Ampara_Hospital,bedCount,476,"(Ampara_Hospital, bedCount, 476)",Ampara_Hospital,bedCount,476
ont_4_building_test_100,EXACT,1.00,"(Ampara_Hospital, country, Sri_Lanka)",Ampara_Hospital,country,Sri_Lanka,"(Ampara_Hospital, country, Sri_Lanka)",Ampara_Hospital,country,Sri_Lanka
ont_4_building_test_100,SEMANTIC,0.99,"(Ampara_Hospital, region, Ampara_District)",Ampara_Hospital,region,Ampara_District,"(Ampara_Hospital, location, Ampara_District)",Ampara_Hospital,location,Ampara_District
ont_4_building_test_101,EXACT,1.00,"(Ampara_Hospital, country, Sri_Lanka)",Ampara_Hospital,country,Sri_Lanka,"(Ampara_Hospital, country, Sri_Lanka)",Ampara_Hospital,country,Sri_Lanka
ont_4_building_test_101,SEMANTIC,1.00,"(Ampara_Hospital, state, Eastern_Province,_Sri_Lanka)",Ampara_Hospital,state,"Eastern_Province,_Sri_Lanka","(Ampara_Hospital, region, Eastern_Province,_Sri_Lanka)",Ampara_Hospital,region,"Eastern_Province,_Sri_Lanka"
ont_4_building_test_101,MISSING,,"(Sri_Lanka, leader, Ranil_Wickremesinghe)",Sri_Lanka,leader,Ranil_Wickremesinghe,,,,
