sent_id,match_type,similarity,expected,expected_sub,expected_rel,expected_obj,predicted,predicted_sub,predicted_rel,predicted_obj
ont_17_artist_test_1,EXACT,1.00,"(Aaron_Deer, genre, Indie_rock)",Aaron_Deer,genre,Indie_rock,"(Aaron_Deer, genre, Indie_rock)",Aaron_Deer,genre,Indie_rock
ont_17_artist_test_1,SEMANTIC,0.95,"(Aaron_Deer, instrument, Bass_guitar)",Aaron_Deer,instrument,Bass_guitar,"(Aaron_Deer, occupation, Bassist)",Aaron_Deer,occupation,Bassist
ont_17_artist_test_1,MISSING,,"(Indie_rock, stylisticOrigin, New_wave_music)",Indie_rock,stylisticOrigin,New_wave_music,,,,
ont_17_artist_test_10,EXACT,1.00,"(Aaron_Deer, genre, Indie_rock)",Aaron_Deer,genre,Indie_rock,"(Aaron_Deer, genre, Indie_rock)",Aaron_Deer,genre,Indie_rock
ont_17_artist_test_10,SEMANTIC,0.94,"(Aaron_Deer, instrument, Keyboard_instrument)",Aaron_Deer,instrument,Keyboard_instrument,"(Aaron_Deer, occupation, keyboard player)",Aaron_Deer,occupation,keyboard player
ont_17_artist_test_10,MISSING,,"(Indie_rock, stylisticOrigin, New_wave_music)",Indie_rock,stylisticOrigin,New_wave_music,,,,
ont_17_artist_test_11,EXACT,1.00,"(Aaron_Deer, genre, Indie_rock)",Aaron_Deer,genre,Indie_rock,"(Aaron_Deer, genre, Indie_rock)",Aaron_Deer,genre,Indie_rock
ont_17_artist_test_11,SEMANTIC,0.94,"(Aaron_Deer, instrument, Piano)",Aaron_Deer,instrument,Piano,"(Aaron_Deer, occupation, Pianist)",Aaron_Deer,occupation,Pianist
ont_17_artist_test_11,MISSING,,"(Indie_rock, stylisticOrigin, New_wave_music)",Indie_rock,stylisticOrigin,New_wave_music,,,,
ont_17_artist_test_12,EXACT,1.00,"(Aaron_Deer, genre, Indie_rock)",Aaron_Deer,genre,Indie_rock,"(Aaron_Deer, genre, Indie_rock)",Aaron_Deer,genre,Indie_rock
