sent_id,match_type,similarity,expected,expected_sub,expected_rel,expected_obj,predicted,predicted_sub,predicted_rel,predicted_obj
ont_1_university_test_1,MISSING,,"(AWH_Engineering_College, academicStaffSize, 250)",AWH_Engineering_College,academicStaffSize,250,,,,
ont_1_university_test_1,MISSING,,"(AWH_Engineering_College, city, Kuttikkattoor)",AWH_Engineering_College,city,Kuttikkattoor,,,,
ont_1_university_test_1,MISSING,,"(AWH_Engineering_College, state, Kerala)",AWH_Engineering_College,state,Kerala,,,,
ont_1_university_test_10,MISSING,,"(Acharya_Institute_of_Technology, city, Bangalore)",Acharya_Institute_of_Technology,city,Bangalore,,,,
ont_1_university_test_10,MISSING,,"(Acharya_Institute_of_Technology, campus, In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090.)",Acharya_Institute_of_Technology,campus,"In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090.",,,,
ont_1_university_test_10,MISSING,,"(Acharya_Institute_of_Technology, affiliation, Visvesvaraya_Technological_University)",Acharya_Institute_of_Technology,affiliation,Visvesvaraya_Technological_University,,,,
ont_1_university_test_11,MISSING,,"(Acharya_Institute_of_Technology, city, Bangalore)",Acharya_Institute_of_Technology,city,Bangalore,,,,
ont_1_university_test_11,MISSING,,"(Acharya_Institute_of_Technology, campus, In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090.)",Acharya_Institute_of_Technology,campus,"In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090.",,,,
ont_1_university_test_11,MISSING,,"(Acharya_Institute_of_Technology, director, Dr. G. P. Prabhukumar)",Acharya_Institute_of_Technology,director,Dr. G. P. Prabhukumar,,,,
ont_1_university_test_12,MISSING,,"(Acharya_Institute_of_Technology, numberOfPostgraduateStudents, 700)",Acharya_Institute_of_Technology,numberOfPostgraduateStudents,700,,,,
ont_1_university_test_12,MISSING,,"(Acharya_Institute_of_Technology, established, 2000)",Acharya_Institute_of_Technology,established,2000,,,,
ont_1_university_test_12,MISSING,,"(Acharya_Institute_of_Technology, city, Bangalore)",Acharya_Institute_of_Technology,city,Bangalore,,,,
ont_1_university_test_13,MISSING,,"(Acharya_Institute_of_Technology, country, India)",Acharya_Institute_of_Technology,country,India,,,,
ont_1_university_test_13,MISSING,,"(Acharya_Institute_of_Technology, campus, In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090.)",Acharya_Institute_of_Technology,campus,"In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090.",,,,
ont_1_university_test_13,MISSING,,"(Acharya_Institute_of_Technology, affiliation, Visvesvaraya_Technological_University)",Acharya_Institute_of_Technology,affiliation,Visvesvaraya_Technological_University,,,,
ont_1_university_test_14,MISSING,,"(Acharya_Institute_of_Technology, country, India)",Acharya_Institute_of_Technology,country,India,,,,
ont_1_university_test_14,MISSING,,"(Acharya_Institute_of_Technology, numberOfPostgraduateStudents, 700)",Acharya_Institute_of_Technology,numberOfPostgraduateStudents,700,,,,
ont_1_university_test_14,MISSING,,"(Acharya_Institute_of_Technology, campus, In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090.)",Acharya_Institute_of_Technology,campus,"In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090.",,,,
ont_1_university_test_15,MISSING,,"(Acharya_Institute_of_Technology, country, India)",Acharya_Institute_of_Technology,country,India,,,,
ont_1_university_test_15,MISSING,,"(Acharya_Institute_of_Technology, established, 2000)",Acharya_Institute_of_Technology,established,2000,,,,
ont_1_university_test_15,MISSING,,"(Acharya_Institute_of_Technology, state, Karnataka)",Acharya_Institute_of_Technology,state,Karnataka,,,,
ont_1_university_test_16,MISSING,,"(Acharya_Institute_of_Technology, country, India)",Acharya_Institute_of_Technology,country,India,,,,
ont_1_university_test_16,MISSING,,"(Acharya_Institute_of_Technology, sportsOffered, Tennis)",Acharya_Institute_of_Technology,sportsOffered,Tennis,,,,
ont_1_university_test_16,MISSING,,"(Tennis, sportGoverningBody, International_Tennis_Federation)",Tennis,sportGoverningBody,International_Tennis_Federation,,,,
ont_1_university_test_17,SEMANTIC,0.98,"(All_India_Council_for_Technical_Education, location, Mumbai)",All_India_Council_for_Technical_Education,location,Mumbai,"(All_India_Council_for_Technical_Education, headquarter, Mumbai)",All_India_Council_for_Technical_Education,headquarter,Mumbai
ont_1_university_test_17,MISSING,,"(Acharya_Institute_of_Technology, wasGivenTheTechnicalCampusStatusBy, All_India_Council_for_Technical_Education)",Acharya_Institute_of_Technology,wasGivenTheTechnicalCampusStatusBy,All_India_Council_for_Technical_Education,,,,
ont_1_university_test_17,MISSING,,"(Acharya_Institute_of_Technology, city, Bangalore)",Acharya_Institute_of_Technology,city,Bangalore,,,,
ont_1_university_test_18,MISSING,,"(Bangalore, founder, Kempe_Gowda_I)",Bangalore,founder,Kempe_Gowda_I,,,,
ont_1_university_test_18,MISSING,,"(Acharya_Institute_of_Technology, city, Bangalore)",Acharya_Institute_of_Technology,city,Bangalore,,,,
ont_1_university_test_18,MISSING,,"(Acharya_Institute_of_Technology, affiliation, Visvesvaraya_Technological_University)",Acharya_Institute_of_Technology,affiliation,Visvesvaraya_Technological_University,,,,
ont_1_university_test_19,MISSING,,"(Bangalore, founder, Kempe_Gowda_I)",Bangalore,founder,Kempe_Gowda_I,,,,
ont_1_university_test_19,MISSING,,"(Acharya_Institute_of_Technology, city, Bangalore)",Acharya_Institute_of_Technology,city,Bangalore,,,,
ont_1_university_test_19,MISSING,,"(Acharya_Institute_of_Technology, president, B.M. Reddy)",Acharya_Institute_of_Technology,president,B.M. Reddy,,,,
ont_1_university_test_2,MISSING,,"(AWH_Engineering_College, established, 2001)",AWH_Engineering_College,established,2001,,,,
ont_1_university_test_2,MISSING,,"(AWH_Engineering_College, country, India)",AWH_Engineering_College,country,India,,,,
ont_1_university_test_2,MISSING,,"(AWH_Engineering_College, academicStaffSize, 250)",AWH_Engineering_College,academicStaffSize,250,,,,
ont_1_university_test_20,MISSING,,"(Karnataka, hasToItsNortheast, Telangana)",Karnataka,hasToItsNortheast,Telangana,,,,
ont_1_university_test_20,MISSING,,"(Karnataka, hasToItsWest, Arabian_Sea)",Karnataka,hasToItsWest,Arabian_Sea,,,,
ont_1_university_test_20,MISSING,,"(Acharya_Institute_of_Technology, state, Karnataka)",Acharya_Institute_of_Technology,state,Karnataka,,,,
ont_1_university_test_21,MISSING,,"(AWH_Engineering_College, academicStaffSize, 250)",AWH_Engineering_College,academicStaffSize,250,,,,
ont_1_university_test_21,MISSING,,"(Kerala, leader, Kochi)",Kerala,leader,Kochi,,,,
ont_1_university_test_21,MISSING,,"(AWH_Engineering_College, state, Kerala)",AWH_Engineering_College,state,Kerala,,,,
ont_1_university_test_22,MISSING,,"(Kerala, leader, Kochi)",Kerala,leader,Kochi,,,,
ont_1_university_test_22,MISSING,,"(AWH_Engineering_College, city, Kuttikkattoor)",AWH_Engineering_College,city,Kuttikkattoor,,,,
ont_1_university_test_22,MISSING,,"(AWH_Engineering_College, state, Kerala)",AWH_Engineering_College,state,Kerala,,,,
ont_1_university_test_23,SEMANTIC,0.99,"(Visvesvaraya_Technological_University, city, Belgaum)",Visvesvaraya_Technological_University,city,Belgaum,"(Visvesvaraya_Technological_University, headquarter, Belgaum)",Visvesvaraya_Technological_University,headquarter,Belgaum
ont_1_university_test_23,MISSING,,"(Acharya_Institute_of_Technology, established, 2000)",Acharya_Institute_of_Technology,established,2000,,,,
ont_1_university_test_23,MISSING,,"(Acharya_Institute_of_Technology, affiliation, Visvesvaraya_Technological_University)",Acharya_Institute_of_Technology,affiliation,Visvesvaraya_Technological_University,,,,
ont_1_university_test_24,MISSING,,"(Acharya_Institute_of_Technology, numberOfPostgraduateStudents, 700)",Acharya_Institute_of_Technology,numberOfPostgraduateStudents,700,,,,
ont_1_university_test_24,MISSING,,"(Visvesvaraya_Technological_University, city, Belgaum)",Visvesvaraya_Technological_University,city,Belgaum,,,,
ont_1_university_test_24,MISSING,,"(Acharya_Institute_of_Technology, affiliation, Visvesvaraya_Technological_University)",Acharya_Institute_of_Technology,affiliation,Visvesvaraya_Technological_University,,,,
ont_1_university_test_25,MISSING,,"(Acharya_Institute_of_Technology, country, India)",Acharya_Institute_of_Technology,country,India,,,,
ont_1_university_test_25,MISSING,,"(Acharya_Institute_of_Technology, affiliation, Visvesvaraya_Technological_University)",Acharya_Institute_of_Technology,affiliation,Visvesvaraya_Technological_University,,,,
ont_1_university_test_25,MISSING,,"(Acharya_Institute_of_Technology, campus, In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090.)",Acharya_Institute_of_Technology,campus,"In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090.",,,,
ont_1_university_test_25,MISSING,,"(Acharya_Institute_of_Technology, director, Dr. G. P. Prabhukumar)",Acharya_Institute_of_Technology,director,Dr. G. P. Prabhukumar,,,,
ont_1_university_test_26,MISSING,,"(Acharya_Institute_of_Technology, sportsOffered, Tennis)",Acharya_Institute_of_Technology,sportsOffered,Tennis,,,,
ont_1_university_test_26,MISSING,,"(Acharya_Institute_of_Technology, wasGivenTheTechnicalCampusStatusBy, All_India_Council_for_Technical_Education)",Acharya_Institute_of_Technology,wasGivenTheTechnicalCampusStatusBy,All_India_Council_for_Technical_Education,,,,
ont_1_university_test_26,MISSING,,"(Acharya_Institute_of_Technology, campus, In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090.)",Acharya_Institute_of_Technology,campus,"In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090.",,,,
ont_1_university_test_26,MISSING,,"(All_India_Council_for_Technical_Education, location, Mumbai)",All_India_Council_for_Technical_Education,location,Mumbai,,,,
ont_1_university_test_26,MISSING,,"(Acharya_Institute_of_Technology, affiliation, Visvesvaraya_Technological_University)",Acharya_Institute_of_Technology,affiliation,Visvesvaraya_Technological_University,,,,
ont_1_university_test_27,MISSING,,"(Acharya_Institute_of_Technology, affiliation, Visvesvaraya_Technological_University)",Acharya_Institute_of_Technology,affiliation,Visvesvaraya_Technological_University,,,,
ont_1_university_test_27,MISSING,,"(Acharya_Institute_of_Technology, city, Bangalore)",Acharya_Institute_of_Technology,city,Bangalore,,,,
