sent_id,match_type,similarity,expected,expected_sub,expected_rel,expected_obj,predicted,predicted_sub,predicted_rel,predicted_obj
ont_8_celestialbody_test_1,SEMANTIC,0.94,"((19255)_1994_VK8, apoapsis, 6603633000.0 (kilometres))",(19255)_1994_VK8,apoapsis,6603633000.0 (kilometres),"((19255)_1994_VK8, apoapsis, 6603633000.0)",(19255)_1994_VK8,apoapsis,6603633000.0
ont_8_celestialbody_test_1,SEMANTIC,0.95,"((19255)_1994_VK8, averageSpeed, 4.56 (kilometrePerSeconds))",(19255)_1994_VK8,averageSpeed,4.56 (kilometrePerSeconds),"((19255)_1994_VK8, averageSpeed, 4.56)",(19255)_1994_VK8,averageSpeed,4.56
ont_8_celestialbody_test_1,MISSING,,"((19255)_1994_VK8, density, 2.0 (gramPerCubicCentimetres))",(19255)_1994_VK8,density,2.0 (gramPerCubicCentimetres),,,,
ont_8_celestialbody_test_1,EXTRA,,,,,,"((19255)_1994_VK8, density, 2.0)",(19255)_1994_VK8,density,2.0
ont_8_celestialbody_test_10,MISSING,,"((66391)_1999_KW4, orbitalPeriod, 16244700.0)",(66391)_1999_KW4,orbitalPeriod,16244700.0,,,,
ont_8_celestialbody_test_10,MISSING,,"((66391)_1999_KW4, epoch, 2004-07-14)",(66391)_1999_KW4,epoch,2004-07-14,,,,
ont_8_celestialbody_test_10,MISSING,,"((66391)_1999_KW4, periapsis, 29919600000.0)",(66391)_1999_KW4,periapsis,29919600000.0,,,,
ont_8_celestialbody_test_11,MISSING,,"((66391)_1999_KW4, epoch, 2004-07-14)",(66391)_1999_KW4,epoch,2004-07-14,,,,
ont_8_celestialbody_test_11,MISSING,,"((66391)_1999_KW4, periapsis, 29919600000.0)",(66391)_1999_KW4,periapsis,29919600000.0,,,,
ont_8_celestialbody_test_11,MISSING,,"((66391)_1999_KW4, apoapsis, 162164091.8388 (kilometres))",(66391)_1999_KW4,apoapsis,162164091.8388 (kilometres),,,,
ont_8_celestialbody_test_12,MISSING,,"((66391)_1999_KW4, escapeVelocity, 0)",(66391)_1999_KW4,escapeVelocity,0,,,,
ont_8_celestialbody_test_12,MISSING,,"((66391)_1999_KW4, apoapsis, 162164091.8388 (kilometres))",(66391)_1999_KW4,apoapsis,162164091.8388 (kilometres),,,,
ont_8_celestialbody_test_12,MISSING,,"((66391)_1999_KW4, density, 2.0 (gramPerCubicCentimetres))",(66391)_1999_KW4,density,2.0 (gramPerCubicCentimetres),,,,
ont_8_celestialbody_test_13,EXACT,1.00,"(1036_Ganymed, discoverer, Walter_Baade)",1036_Ganymed,discoverer,Walter_Baade,"(1036_Ganymed, discoverer, Walter_Baade)",1036_Ganymed,discoverer,Walter_Baade
ont_8_celestialbody_test_13,EXACT,1.00,"(Walter_Baade, doctoralStudent, Allan_Sandage)",Walter_Baade,doctoralStudent,Allan_Sandage,"(Walter_Baade, doctoralStudent, Allan_Sandage)",Walter_Baade,doctoralStudent,Allan_Sandage
ont_8_celestialbody_test_13,MISSING,,"(Walter_Baade, almaMater, University_of_Göttingen)",Walter_Baade,almaMater,University_of_Göttingen,,,,
ont_8_celestialbody_test_14,SEMANTIC,0.99,"(Walter_Baade, birthPlace, German_Empire)",Walter_Baade,birthPlace,German_Empire,"(Walter_Baade, nationality, German_Empire)",Walter_Baade,nationality,German_Empire
ont_8_celestialbody_test_14,MISSING,,"(Walter_Baade, almaMater, University_of_Göttingen)",Walter_Baade,almaMater,University_of_Göttingen,,,,
ont_8_celestialbody_test_14,MISSING,,"(1036_Ganymed, discoverer, Walter_Baade)",1036_Ganymed,discoverer,Walter_Baade,,,,
ont_8_celestialbody_test_14,EXTRA,,,,,,"(Walter_Baade, discovered, 1036_Ganymed)",Walter_Baade,discovered,1036_Ganymed
ont_8_celestialbody_test_15,SEMANTIC,0.99,"(1036_Ganymed, discoverer, Walter_Baade)",1036_Ganymed,discoverer,Walter_Baade,"(1036_Ganymed, discovered, Walter_Baade)",1036_Ganymed,discovered,Walter_Baade
ont_8_celestialbody_test_15,MISSING,,"(Walter_Baade, almaMater, University_of_Göttingen)",Walter_Baade,almaMater,University_of_Göttingen,,,,
ont_8_celestialbody_test_15,MISSING,,"(Walter_Baade, birthPlace, Preußisch_Oldendorf)",Walter_Baade,birthPlace,Preußisch_Oldendorf,,,,
ont_8_celestialbody_test_16,EXACT,1.00,"(1036_Ganymed, discoverer, Walter_Baade)",1036_Ganymed,discoverer,Walter_Baade,"(1036_Ganymed, discoverer, Walter_Baade)",1036_Ganymed,discoverer,Walter_Baade
ont_8_celestialbody_test_16,MISSING,,"(Walter_Baade, almaMater, University_of_Göttingen)",Walter_Baade,almaMater,University_of_Göttingen,,,,
ont_8_celestialbody_test_16,MISSING,,"(Walter_Baade, deathPlace, Göttingen)",Walter_Baade,deathPlace,Göttingen,,,,
ont_8_celestialbody_test_17,SEMANTIC,0.99,"(1036_Ganymed, discoverer, Walter_Baade)",1036_Ganymed,discoverer,Walter_Baade,"(1036_Ganymed, discovered, Walter_Baade)",1036_Ganymed,discovered,Walter_Baade
ont_8_celestialbody_test_17,MISSING,,"(Walter_Baade, deathPlace, West_Germany)",Walter_Baade,deathPlace,West_Germany,,,,
ont_8_celestialbody_test_17,MISSING,,"(Walter_Baade, almaMater, University_of_Göttingen)",Walter_Baade,almaMater,University_of_Göttingen,,,,
ont_8_celestialbody_test_18,EXACT,1.00,"(Walter_Baade, doctoralStudent, Halton_Arp)",Walter_Baade,doctoralStudent,Halton_Arp,"(Walter_Baade, doctoralStudent, Halton_Arp)",Walter_Baade,doctoralStudent,Halton_Arp
ont_8_celestialbody_test_18,MISSING,,"(Walter_Baade, almaMater, University_of_Göttingen)",Walter_Baade,almaMater,University_of_Göttingen,,,,
ont_8_celestialbody_test_18,MISSING,,"(1036_Ganymed, discoverer, Walter_Baade)",1036_Ganymed,discoverer,Walter_Baade,,,,
ont_8_celestialbody_test_18,EXTRA,,,,,,"(Walter_Baade, discovered, 1036_Ganymed)",Walter_Baade,discovered,1036_Ganymed
ont_8_celestialbody_test_19,SEMANTIC,0.96,"(Walter_Baade, doctoralStudent, Halton_Arp)",Walter_Baade,doctoralStudent,Halton_Arp,"(Halton_Arp, doctoralStudent, Walter_Baade)",Halton_Arp,doctoralStudent,Walter_Baade
