sent_id,match_type,similarity,expected,expected_sub,expected_rel,expected_obj,predicted,predicted_sub,predicted_rel,predicted_obj
ont_7_company_test_1,EXACT,1.00,"(Chinabank, type, Public_company)",Chinabank,type,Public_company,"(Chinabank, type, Public_company)",Chinabank,type,Public_company
ont_7_company_test_1,MISSING,,"(Chinabank, foundationPlace, Insular_Government_of_the_Philippine_Islands)",Chinabank,foundationPlace,Insular_Government_of_the_Philippine_Islands,,,,
ont_7_company_test_1,MISSING,,"(Chinabank, foundationPlace, Manila)",Chinabank,foundationPlace,Manila,,,,
ont_7_company_test_1,EXTRA,,,,,,"(Chinabank, foundationPlace, Manila_hemp)",Chinabank,foundationPlace,Manila_hemp
ont_7_company_test_10,EXACT,1.00,"(Chinabank, numberOfLocations, 295)",Chinabank,numberOfLocations,295,"(Chinabank, numberOfLocations, 295)",Chinabank,numberOfLocations,295
ont_7_company_test_10,EXACT,1.00,"(Chinabank, netIncome, 15100000000)",Chinabank,netIncome,15100000000,"(Chinabank, netIncome, 15100000000)",Chinabank,netIncome,15100000000
ont_7_company_test_10,EXACT,1.00,"(Chinabank, type, Public_company)",Chinabank,type,Public_company,"(Chinabank, type, Public_company)",Chinabank,type,Public_company
ont_7_company_test_11,EXACT,1.00,"(Chinabank, numberOfLocations, 295)",Chinabank,numberOfLocations,295,"(Chinabank, numberOfLocations, 295)",Chinabank,numberOfLocations,295
ont_7_company_test_11,MISSING,,"(Chinabank, foundationPlace, Insular_Government_of_the_Philippine_Islands)",Chinabank,foundationPlace,Insular_Government_of_the_Philippine_Islands,,,,
ont_7_company_test_11,MISSING,,"(Chinabank, foundationPlace, Manila)",Chinabank,foundationPlace,Manila,,,,
ont_7_company_test_11,EXTRA,,,,,,"(Chinabank, foundationPlace, Manila_hemp)",Chinabank,foundationPlace,Manila_hemp
ont_7_company_test_12,EXACT,1.00,"(Chinabank, numberOfLocations, 295)",Chinabank,numberOfLocations,295,"(Chinabank, numberOfLocations, 295)",Chinabank,numberOfLocations,295
ont_7_company_test_12,EXACT,1.00,"(Chinabank, type, Public_company)",Chinabank,type,Public_company,"(Chinabank, type, Public_company)",Chinabank,type,Public_company
ont_7_company_test_12,MISSING,,"(Chinabank, foundationPlace, Manila)",Chinabank,foundationPlace,Manila,,,,
ont_7_company_test_12,EXTRA,,,,,,"(Chinabank, foundationPlace, Manila_hemp)",Chinabank,foundationPlace,Manila_hemp
ont_7_company_test_13,EXACT,1.00,"(Trane, location, Swords,_Dublin)",Trane,location,"Swords,_Dublin","(Trane, location, Swords,_Dublin)",Trane,location,"Swords,_Dublin"
ont_7_company_test_13,EXACT,1.00,"(Trane, foundationPlace, La_Crosse,_Wisconsin)",Trane,foundationPlace,"La_Crosse,_Wisconsin","(Trane, foundationPlace, La_Crosse,_Wisconsin)",Trane,foundationPlace,"La_Crosse,_Wisconsin"
ont_7_company_test_13,MISSING,,"(La_Crosse,_Wisconsin, isPartOf, Wisconsin)","La_Crosse,_Wisconsin",isPartOf,Wisconsin,,,,
ont_7_company_test_14,EXACT,1.00,"(Trane, foundingDate, 1913-01-01)",Trane,foundingDate,1913-01-01,"(Trane, foundingDate, 1913-01-01)",Trane,foundingDate,1913-01-01
ont_7_company_test_14,EXACT,1.00,"(Trane, numberOfEmployees, 29000)",Trane,numberOfEmployees,29000,"(Trane, numberOfEmployees, 29000)",Trane,numberOfEmployees,29000
ont_7_company_test_14,EXACT,1.00,"(Trane, foundationPlace, La_Crosse,_Wisconsin)",Trane,foundationPlace,"La_Crosse,_Wisconsin","(Trane, foundationPlace, La_Crosse,_Wisconsin)",Trane,foundationPlace,"La_Crosse,_Wisconsin"
ont_7_company_test_15,EXACT,1.00,"(Trane, foundingDate, 1913-01-01)",Trane,foundingDate,1913-01-01,"(Trane, foundingDate, 1913-01-01)",Trane,foundingDate,1913-01-01
ont_7_company_test_15,EXACT,1.00,"(Trane, foundationPlace, La_Crosse,_Wisconsin)",Trane,foundationPlace,"La_Crosse,_Wisconsin","(Trane, foundationPlace, La_Crosse,_Wisconsin)",Trane,foundationPlace,"La_Crosse,_Wisconsin"
ont_7_company_test_15,MISSING,,"(Trane, product, HVAC)",Trane,product,HVAC,,,,
ont_7_company_test_15,EXTRA,,,,,,"(Trane, product, Heating,_ventilation,_and_air_conditioning)",Trane,product,"Heating,_ventilation,_and_air_conditioning"
ont_7_company_test_16,EXACT,1.00,"(Trane, foundingDate, 1913-01-01)",Trane,foundingDate,1913-01-01,"(Trane, foundingDate, 1913-01-01)",Trane,foundingDate,1913-01-01
ont_7_company_test_16,EXACT,1.00,"(Trane, location, Ireland)",Trane,location,Ireland,"(Trane, location, Ireland)",Trane,location,Ireland
ont_7_company_test_16,EXACT,1.00,"(Trane, foundationPlace, La_Crosse,_Wisconsin)",Trane,foundationPlace,"La_Crosse,_Wisconsin","(Trane, foundationPlace, La_Crosse,_Wisconsin)",Trane,foundationPlace,"La_Crosse,_Wisconsin"
ont_7_company_test_17,EXACT,1.00,"(Trane, foundingDate, 1913-01-01)",Trane,foundingDate,1913-01-01,"(Trane, foundingDate, 1913-01-01)",Trane,foundingDate,1913-01-01
ont_7_company_test_17,EXACT,1.00,"(Trane, numberOfEmployees, 29000)",Trane,numberOfEmployees,29000,"(Trane, numberOfEmployees, 29000)",Trane,numberOfEmployees,29000
ont_7_company_test_17,EXACT,1.00,"(Trane, location, Ireland)",Trane,location,Ireland,"(Trane, location, Ireland)",Trane,location,Ireland
ont_7_company_test_18,EXACT,1.00,"(Trane, foundingDate, 1913-01-01)",Trane,foundingDate,1913-01-01,"(Trane, foundingDate, 1913-01-01)",Trane,foundingDate,1913-01-01
ont_7_company_test_18,EXACT,1.00,"(Trane, numberOfEmployees, 29000)",Trane,numberOfEmployees,29000,"(Trane, numberOfEmployees, 29000)",Trane,numberOfEmployees,29000
ont_7_company_test_18,MISSING,,"(Trane, product, HVAC)",Trane,product,HVAC,,,,
ont_7_company_test_18,EXTRA,,,,,,"(Trane, product, Heating,_ventilation,_and_air_conditioning)",Trane,product,"Heating,_ventilation,_and_air_conditioning"
ont_7_company_test_19,EXACT,1.00,"(Trane, location, Ireland)",Trane,location,Ireland,"(Trane, location, Ireland)",Trane,location,Ireland
ont_7_company_test_19,MISSING,,"(Ireland, location, Europe)",Ireland,location,Europe,,,,
ont_7_company_test_19,MISSING,,"(Trane, product, HVAC)",Trane,product,HVAC,,,,
ont_7_company_test_19,EXTRA,,,,,,"(Trane, product, Heating,_ventilation,_and_air_conditioning)",Trane,product,"Heating,_ventilation,_and_air_conditioning"
ont_7_company_test_2,EXACT,1.00,"(Chinabank, type, Public_company)",Chinabank,type,Public_company,"(Chinabank, type, Public_company)",Chinabank,type,Public_company
ont_7_company_test_2,MISSING,,"(Chinabank, foundationPlace, Manila)",Chinabank,foundationPlace,Manila,,,,
