sent_id,match_type,similarity,expected,expected_sub,expected_rel,expected_obj,predicted,predicted_sub,predicted_rel,predicted_obj
ont_6_politician_test_1,EXACT,1.00,"(Ab_Klink, almaMater, Erasmus_University_Rotterdam)",Ab_Klink,almaMater,Erasmus_University_Rotterdam,"(Ab_Klink, almaMater, Erasmus_University_Rotterdam)",Ab_Klink,almaMater,Erasmus_University_Rotterdam
ont_6_politician_test_1,EXACT,1.00,"(Ab_Klink, party, Christian_Democratic_Appeal)",Ab_Klink,party,Christian_Democratic_Appeal,"(Ab_Klink, party, Christian_Democratic_Appeal)",Ab_Klink,party,Christian_Democratic_Appeal
ont_6_politician_test_1,EXACT,1.00,"(Ab_Klink, birthPlace, Stellendam)",Ab_Klink,birthPlace,Stellendam,"(Ab_Klink, birthPlace, Stellendam)",Ab_Klink,birthPlace,Stellendam
ont_6_politician_test_10,EXACT,1.00,"(Ab_Klink, almaMater, Leiden_University)",Ab_Klink,almaMater,Leiden_University,"(Ab_Klink, almaMater, Leiden_University)",Ab_Klink,almaMater,Leiden_University
ont_6_politician_test_10,EXACT,1.00,"(Ab_Klink, party, Christian_Democratic_Appeal)",Ab_Klink,party,Christian_Democratic_Appeal,"(Ab_Klink, party, Christian_Democratic_Appeal)",Ab_Klink,party,Christian_Democratic_Appeal
ont_6_politician_test_10,EXACT,1.00,"(Ab_Klink, birthPlace, Netherlands)",Ab_Klink,birthPlace,Netherlands,"(Ab_Klink, birthPlace, Netherlands)",Ab_Klink,birthPlace,Netherlands
ont_6_politician_test_100,SEMANTIC,0.99,"(Abraham_A._Ribicoff, birthPlace, Connecticut)",Abraham_A._Ribicoff,birthPlace,Connecticut,"(Abraham_Ribicoff, birthPlace, Connecticut)",Abraham_Ribicoff,birthPlace,Connecticut
ont_6_politician_test_100,SEMANTIC,0.98,"(Abraham_A._Ribicoff, nationality, American)",Abraham_A._Ribicoff,nationality,American,"(Abraham_Ribicoff, nationality, United_States)",Abraham_Ribicoff,nationality,United_States
ont_6_politician_test_100,MISSING,,"(Abraham_A._Ribicoff, spouse, Ruth Ribicoff)",Abraham_A._Ribicoff,spouse,Ruth Ribicoff,,,,
ont_6_politician_test_100,MISSING,,"(Abraham_A._Ribicoff, deathPlace, United_States)",Abraham_A._Ribicoff,deathPlace,United_States,,,,
ont_6_politician_test_100,MISSING,,"(Abraham_A._Ribicoff, inOfficeWhilePresident, John_F._Kennedy)",Abraham_A._Ribicoff,inOfficeWhilePresident,John_F._Kennedy,,,,
ont_6_politician_test_100,EXTRA,,,,,,"(Abraham_Ribicoff, successor, John_F._Kennedy)",Abraham_Ribicoff,successor,John_F._Kennedy
ont_6_politician_test_100,EXTRA,,,,,,"(Abraham_Ribicoff, country, United_States)",Abraham_Ribicoff,country,United_States
ont_6_politician_test_101,SEMANTIC,0.99,"(Abraham_A._Ribicoff, spouse, Casey_Ribicoff)",Abraham_A._Ribicoff,spouse,Casey_Ribicoff,"(Abraham_Ribicoff, spouse, Casey_Ribicoff)",Abraham_Ribicoff,spouse,Casey_Ribicoff
ont_6_politician_test_101,SEMANTIC,0.98,"(Abraham_A._Ribicoff, nationality, American)",Abraham_A._Ribicoff,nationality,American,"(Abraham_Ribicoff, nationality, United_States)",Abraham_Ribicoff,nationality,United_States
