sent_id,match_type,similarity,expected,expected_sub,expected_rel,expected_obj,predicted,predicted_sub,predicted_rel,predicted_obj
ont_19_film_test_1,MISSING,,"(It's_Great_to_Be_Young_(1956_film), starring, Cecil_Parker)",It's_Great_to_Be_Young_(1956_film),starring,Cecil_Parker,,,,
ont_19_film_test_1,MISSING,,"(It's_Great_to_Be_Young_(1956_film), writer, Ted_Willis)",It's_Great_to_Be_Young_(1956_film),writer,Ted_Willis,,,,
ont_19_film_test_1,MISSING,,"(It's_Great_to_Be_Young_(1956_film), musicComposer, Louis_Levy)",It's_Great_to_Be_Young_(1956_film),musicComposer,Louis_Levy,,,,
ont_19_film_test_10,EXACT,1.00,"(Super_Capers, starring, Tom_Sizemore)",Super_Capers,starring,Tom_Sizemore,"(Super_Capers, starring, Tom_Sizemore)",Super_Capers,starring,Tom_Sizemore
ont_19_film_test_10,EXACT,1.00,"(Super_Capers, starring, Michael_Rooker)",Super_Capers,starring,Michael_Rooker,"(Super_Capers, starring, Michael_Rooker)",Super_Capers,starring,Michael_Rooker
ont_19_film_test_10,SEMANTIC,0.97,"(Super_Capers, writer, Ray_Griggs_(director))",Super_Capers,writer,Ray_Griggs_(director),"(Super_Capers, writer, Ray_Griggs)",Super_Capers,writer,Ray_Griggs
ont_19_film_test_10,MISSING,,"(Ray_Griggs_(director), birthYear, 1974)",Ray_Griggs_(director),birthYear,1974,,,,
ont_19_film_test_10,EXTRA,,,,,,"(Ray_Griggs, birthYear, 1974)",Ray_Griggs,birthYear,1974
ont_19_film_test_100,EXACT,1.00,"(Super_Capers, starring, Justin_Whalin)",Super_Capers,starring,Justin_Whalin,"(Super_Capers, starring, Justin_Whalin)",Super_Capers,starring,Justin_Whalin
ont_19_film_test_100,SEMANTIC,0.97,"(Super_Capers, writer, Ray_Griggs_(director))",Super_Capers,writer,Ray_Griggs_(director),"(Super_Capers, writer, Ray_Griggs)",Super_Capers,writer,Ray_Griggs
ont_19_film_test_101,MISSING,,"(It's_Great_to_Be_Young_(1956_film), starring, Cecil_Parker)",It's_Great_to_Be_Young_(1956_film),starring,Cecil_Parker,,,,
ont_19_film_test_101,MISSING,,"(It's_Great_to_Be_Young_(1956_film), runtime, 94.0)",It's_Great_to_Be_Young_(1956_film),runtime,94.0,,,,
ont_19_film_test_101,MISSING,,"(It's_Great_to_Be_Young_(1956_film), starring, John_Mills)",It's_Great_to_Be_Young_(1956_film),starring,John_Mills,,,,
ont_19_film_test_101,MISSING,,"(It's_Great_to_Be_Young_(1956_film), cinematography, Gilbert_Taylor)",It's_Great_to_Be_Young_(1956_film),cinematography,Gilbert_Taylor,,,,
ont_19_film_test_101,MISSING,,"(It's_Great_to_Be_Young_(1956_film), gross, 282838.0)",It's_Great_to_Be_Young_(1956_film),gross,282838.0,,,,
ont_19_film_test_101,MISSING,,"(It's_Great_to_Be_Young_(1956_film), director, Cyril_Frankel)",It's_Great_to_Be_Young_(1956_film),director,Cyril_Frankel,,,,
ont_19_film_test_102,SEMANTIC,0.99,"(Max_Benedict, activeYearsStartYear, 1947-01-01)",Max_Benedict,activeYearsStartYear,1947-01-01,"(Max_Benedict, activeYearsStartYear, 1947)",Max_Benedict,activeYearsStartYear,1947
ont_19_film_test_103,EXACT,1.00,"(John_Mills, spouse, Mary_Hayley_Bell)",John_Mills,spouse,Mary_Hayley_Bell,"(John_Mills, spouse, Mary_Hayley_Bell)",John_Mills,spouse,Mary_Hayley_Bell
ont_19_film_test_104,EXACT,1.00,"(Justin_Whalin, birthPlace, San_Francisco)",Justin_Whalin,birthPlace,San_Francisco,"(Justin_Whalin, birthPlace, San_Francisco)",Justin_Whalin,birthPlace,San_Francisco
ont_19_film_test_105,EXACT,1.00,"(John_Mills, spouse, Mary_Hayley_Bell)",John_Mills,spouse,Mary_Hayley_Bell,"(John_Mills, spouse, Mary_Hayley_Bell)",John_Mills,spouse,Mary_Hayley_Bell
ont_19_film_test_105,EXACT,1.00,"(John_Mills, spouse, Aileen_Raymond)",John_Mills,spouse,Aileen_Raymond,"(John_Mills, spouse, Aileen_Raymond)",John_Mills,spouse,Aileen_Raymond
ont_19_film_test_105,MISSING,,"(It's_Great_to_Be_Young_(1956_film), starring, Cecil_Parker)",It's_Great_to_Be_Young_(1956_film),starring,Cecil_Parker,,,,
ont_19_film_test_105,MISSING,,"(It's_Great_to_Be_Young_(1956_film), starring, John_Mills)",It's_Great_to_Be_Young_(1956_film),starring,John_Mills,,,,
ont_19_film_test_106,MISSING,,"(It's_Great_to_Be_Young_(1956_film), starring, Cecil_Parker)",It's_Great_to_Be_Young_(1956_film),starring,Cecil_Parker,,,,
ont_19_film_test_106,MISSING,,"(It's_Great_to_Be_Young_(1956_film), runtime, 94.0)",It's_Great_to_Be_Young_(1956_film),runtime,94.0,,,,
ont_19_film_test_106,MISSING,,"(It's_Great_to_Be_Young_(1956_film), musicComposer, Louis_Levy)",It's_Great_to_Be_Young_(1956_film),musicComposer,Louis_Levy,,,,
ont_19_film_test_106,MISSING,,"(It's_Great_to_Be_Young_(1956_film), cinematography, Gilbert_Taylor)",It's_Great_to_Be_Young_(1956_film),cinematography,Gilbert_Taylor,,,,
ont_19_film_test_106,MISSING,,"(It's_Great_to_Be_Young_(1956_film), director, Cyril_Frankel)",It's_Great_to_Be_Young_(1956_film),director,Cyril_Frankel,,,,
ont_19_film_test_107,MISSING,,"(It's_Great_to_Be_Young_(1956_film), musicComposer, Louis_Levy)",It's_Great_to_Be_Young_(1956_film),musicComposer,Louis_Levy,,,,
ont_19_film_test_107,MISSING,,"(It's_Great_to_Be_Young_(1956_film), editing, Max_Benedict)",It's_Great_to_Be_Young_(1956_film),editing,Max_Benedict,,,,
ont_19_film_test_107,MISSING,,"(It's_Great_to_Be_Young_(1956_film), cinematography, Gilbert_Taylor)",It's_Great_to_Be_Young_(1956_film),cinematography,Gilbert_Taylor,,,,
ont_19_film_test_108,EXACT,1.00,"(Super_Capers, language, English_language)",Super_Capers,language,English_language,"(Super_Capers, language, English_language)",Super_Capers,language,English_language
ont_19_film_test_108,SEMANTIC,0.97,"(Super_Capers, runtime, 98.0)",Super_Capers,runtime,98.0,"(Super_Capers, runtime, 98)",Super_Capers,runtime,98
ont_19_film_test_108,MISSING,,"(Super_Capers, editing, Stacy_Katzman)",Super_Capers,editing,Stacy_Katzman,,,,
ont_19_film_test_108,MISSING,,"(Super_Capers, distributor, Lionsgate)",Super_Capers,distributor,Lionsgate,,,,
ont_19_film_test_108,MISSING,,"(Super_Capers, distributor, Roadside_Attractions)",Super_Capers,distributor,Roadside_Attractions,,,,
ont_19_film_test_109,SEMANTIC,0.97,"(Justin_Whalin, occupation, Presenter)",Justin_Whalin,occupation,Presenter,"(Justin_Whalin, occupation, Television_presenter)",Justin_Whalin,occupation,Television_presenter
ont_19_film_test_11,MISSING,,"(It's_Great_to_Be_Young_(1956_film), starring, Cecil_Parker)",It's_Great_to_Be_Young_(1956_film),starring,Cecil_Parker,,,,
ont_19_film_test_11,MISSING,,"(It's_Great_to_Be_Young_(1956_film), runtime, 94.0)",It's_Great_to_Be_Young_(1956_film),runtime,94.0,,,,
ont_19_film_test_11,MISSING,,"(It's_Great_to_Be_Young_(1956_film), starring, John_Mills)",It's_Great_to_Be_Young_(1956_film),starring,John_Mills,,,,
ont_19_film_test_11,MISSING,,"(It's_Great_to_Be_Young_(1956_film), cinematography, Gilbert_Taylor)",It's_Great_to_Be_Young_(1956_film),cinematography,Gilbert_Taylor,,,,
ont_19_film_test_11,MISSING,,"(It's_Great_to_Be_Young_(1956_film), gross, 282838.0)",It's_Great_to_Be_Young_(1956_film),gross,282838.0,,,,
ont_19_film_test_110,EXACT,1.00,"(Cyril_Frankel, birthPlace, United_Kingdom)",Cyril_Frankel,birthPlace,United_Kingdom,"(Cyril_Frankel, birthPlace, United_Kingdom)",Cyril_Frankel,birthPlace,United_Kingdom
ont_19_film_test_111,SEMANTIC,0.98,"(Super_Capers, starring, Tom_Lister,_Jr.)",Super_Capers,starring,"Tom_Lister,_Jr.","(Super_Capers, starring, Tommy_Lister_Jr.)",Super_Capers,starring,Tommy_Lister_Jr.
ont_19_film_test_112,MISSING,,"(It's_Great_to_Be_Young_(1956_film), starring, Cecil_Parker)",It's_Great_to_Be_Young_(1956_film),starring,Cecil_Parker,,,,
