sent_id,match_type,similarity,expected,expected_sub,expected_rel,expected_obj,predicted,predicted_sub,predicted_rel,predicted_obj
ont_15_sportsteam_test_1,MISSING,,"(1._FC_Magdeburg, numberOfMembers, 27250)",1._FC_Magdeburg,numberOfMembers,27250,,,,
ont_15_sportsteam_test_1,MISSING,,"(1._FC_Magdeburg, season, 2014)",1._FC_Magdeburg,season,2014,,,,
ont_15_sportsteam_test_1,MISSING,,"(1._FC_Magdeburg, league, 3._Liga)",1._FC_Magdeburg,league,3._Liga,,,,
ont_15_sportsteam_test_10,MISSING,,"(Jens_Härtel, club, RB_Leipzig)",Jens_Härtel,club,RB_Leipzig,,,,
ont_15_sportsteam_test_10,MISSING,,"(1._FC_Magdeburg, manager, Jens_Härtel)",1._FC_Magdeburg,manager,Jens_Härtel,,,,
ont_15_sportsteam_test_10,MISSING,,"(Jens_Härtel, club, 1._FC_Union_Berlin)",Jens_Härtel,club,1._FC_Union_Berlin,,,,
ont_15_sportsteam_test_100,MISSING,,"(Agremiação_Sportiva_Arapiraquense, season, 2015)",Agremiação_Sportiva_Arapiraquense,season,2015,,,,
ont_15_sportsteam_test_100,MISSING,,"(Agremiação_Sportiva_Arapiraquense, ground, Estádio_Municipal_Coaracy_da_Mata_Fonseca)",Agremiação_Sportiva_Arapiraquense,ground,Estádio_Municipal_Coaracy_da_Mata_Fonseca,,,,
ont_15_sportsteam_test_100,MISSING,,"(Estádio_Municipal_Coaracy_da_Mata_Fonseca, location, Arapiraca)",Estádio_Municipal_Coaracy_da_Mata_Fonseca,location,Arapiraca,,,,
ont_15_sportsteam_test_100,MISSING,,"(Campeonato_Brasileiro_Série_C, country, Brazil)",Campeonato_Brasileiro_Série_C,country,Brazil,,,,
ont_15_sportsteam_test_100,MISSING,,"(Agremiação_Sportiva_Arapiraquense, league, Campeonato_Brasileiro_Série_C)",Agremiação_Sportiva_Arapiraquense,league,Campeonato_Brasileiro_Série_C,,,,
ont_15_sportsteam_test_101,EXACT,1.00,"(Agremiação_Sportiva_Arapiraquense, league, Campeonato_Brasileiro_Série_C)",Agremiação_Sportiva_Arapiraquense,league,Campeonato_Brasileiro_Série_C,"(Agremiação_Sportiva_Arapiraquense, league, Campeonato_Brasileiro_Série_C)",Agremiação_Sportiva_Arapiraquense,league,Campeonato_Brasileiro_Série_C
ont_15_sportsteam_test_101,SEMANTIC,0.95,"(Agremiação_Sportiva_Arapiraquense, fullName, Agremiação Sportiva Arapiraquense)",Agremiação_Sportiva_Arapiraquense,fullName,Agremiação Sportiva Arapiraquense,"(Agremiação_Sportiva_Arapiraquense, location, Brazil)",Agremiação_Sportiva_Arapiraquense,location,Brazil
ont_15_sportsteam_test_101,MISSING,,"(Estádio_Municipal_Coaracy_da_Mata_Fonseca, location, Arapiraca)",Estádio_Municipal_Coaracy_da_Mata_Fonseca,location,Arapiraca,,,,
ont_15_sportsteam_test_101,MISSING,,"(Campeonato_Brasileiro_Série_C, country, Brazil)",Campeonato_Brasileiro_Série_C,country,Brazil,,,,
ont_15_sportsteam_test_101,MISSING,,"(Agremiação_Sportiva_Arapiraquense, ground, Estádio_Municipal_Coaracy_da_Mata_Fonseca)",Agremiação_Sportiva_Arapiraquense,ground,Estádio_Municipal_Coaracy_da_Mata_Fonseca,,,,
ont_15_sportsteam_test_101,EXTRA,,,,,,"(Arapiraca, country, Brazil)",Arapiraca,country,Brazil
