sent_id,match_type,similarity,expected,expected_sub,expected_rel,expected_obj,predicted,predicted_sub,predicted_rel,predicted_obj
ont_9_astronaut_test_1,EXACT,1.00,"(Alan_Shepard, birthPlace, New_Hampshire)",Alan_Shepard,birthPlace,New_Hampshire,"(Alan_Shepard, birthPlace, New_Hampshire)",Alan_Shepard,birthPlace,New_Hampshire
ont_9_astronaut_test_1,MISSING,,"(Alan_Shepard, dateOfRetirement, 1974-08-01)",Alan_Shepard,dateOfRetirement,1974-08-01,,,,
ont_9_astronaut_test_1,MISSING,,"(Alan_Shepard, almaMater, NWC, M.A. 1957)",Alan_Shepard,almaMater,"NWC, M.A. 1957",,,,
ont_9_astronaut_test_1,EXTRA,,,,,,"(Alan_Shepard, deathDate, 1974-08-01)",Alan_Shepard,deathDate,1974-08-01
ont_9_astronaut_test_1,EXTRA,,,,,,"(Alan_Shepard, almaMater, NWC)",Alan_Shepard,almaMater,NWC
ont_9_astronaut_test_10,EXACT,1.00,"(Alan_Shepard, birthPlace, New_Hampshire)",Alan_Shepard,birthPlace,New_Hampshire,"(Alan_Shepard, birthPlace, New_Hampshire)",Alan_Shepard,birthPlace,New_Hampshire
ont_9_astronaut_test_10,MISSING,,"(Alan_Shepard, mission, Apollo_14)",Alan_Shepard,mission,Apollo_14,,,,
ont_9_astronaut_test_10,MISSING,,"(Apollo_14, operator, NASA)",Apollo_14,operator,NASA,,,,
ont_9_astronaut_test_11,EXACT,1.00,"(Alan_Shepard, deathPlace, California)",Alan_Shepard,deathPlace,California,"(Alan_Shepard, deathPlace, California)",Alan_Shepard,deathPlace,California
ont_9_astronaut_test_11,SEMANTIC,0.97,"(California, senators, Dianne_Feinstein)",California,senators,Dianne_Feinstein,"(California, representative, Dianne_Feinstein)",California,representative,Dianne_Feinstein
ont_9_astronaut_test_11,MISSING,,"(California, gemstone, Benitoite)",California,gemstone,Benitoite,,,,
ont_9_astronaut_test_12,EXACT,1.00,"(Elliot_See, birthPlace, Dallas)",Elliot_See,birthPlace,Dallas,"(Elliot_See, birthPlace, Dallas)",Elliot_See,birthPlace,Dallas
ont_9_astronaut_test_12,MISSING,,"(Dallas, part, Collin_County,_Texas)",Dallas,part,"Collin_County,_Texas",,,,
ont_9_astronaut_test_12,MISSING,,"(Dallas, partsType, List_of_counties_in_Texas)",Dallas,partsType,List_of_counties_in_Texas,,,,
